image_path,captions
Dedan_Img_dataset/IMG_6288.jpg,Student welfare building under the student mess
Dedan_Img_dataset/IMG_6277.jpg,left side of freedom hall
Dedan_Img_dataset/IMG_6263.jpg,front side of the School of business
Dedan_Img_dataset/IMG_6262.jpg,School of business tower
Dedan_Img_dataset/IMG_6276.jpg,left side of freedom hall
Dedan_Img_dataset/IMG_6289.jpg,Student mess and student welfare building
Dedan_Img_dataset/IMG_6300.jpg,Medical center ground
Dedan_Img_dataset/IMG_6260.jpg,School of business
Dedan_Img_dataset/IMG_6274.jpg,anterior side of Freedom hall
Dedan_Img_dataset/IMG_6248.jpg,Junction at the Gate A left leading to school of business and forward to school of engineering
Dedan_Img_dataset/IMG_6249.jpg,road that leads to School of engineering
Dedan_Img_dataset/IMG_6275.jpg,Left side of freedom hall with 2 entrances
Dedan_Img_dataset/IMG_6261.jpg,School of business tower
Dedan_Img_dataset/IMG_6301.jpg,Medical center parking bay
Dedan_Img_dataset/IMG_6259.jpg,Student mess from afar
Dedan_Img_dataset/IMG_6265.jpg,Right side of School of business offices
Dedan_Img_dataset/IMG_6271.jpg,Rearside entrance to Freedom Hall
Dedan_Img_dataset/IMG_6270.jpg,Rearside entrance to Freedom Hall
Dedan_Img_dataset/IMG_6264.jpg,Right side of School of business offices
Dedan_Img_dataset/IMG_6258.jpg,Student mess
Dedan_Img_dataset/IMG_6299.jpg,Medical center
Dedan_Img_dataset/IMG_6272.jpg,anterior side of Freedom hall
Dedan_Img_dataset/IMG_6266.jpg,The rear side of school of business
Dedan_Img_dataset/IMG_6267.jpg,The rear side of school of business
Dedan_Img_dataset/IMG_6273.jpg,The Rearside of Freedom Hall
Dedan_Img_dataset/IMG_6298.jpg,Medical center
Dedan_Img_dataset/IMG_6189.jpg,School of engineering satima block
Dedan_Img_dataset/IMG_6176.jpg,Dedan Kimathi Energy studies
Dedan_Img_dataset/IMG_6293 2.jpg,Entrance to the medical center
Dedan_Img_dataset/IMG_6214.jpg,Entrance to lecturer's mess
Dedan_Img_dataset/IMG_6200.jpg,Frontside of Admat lab
Dedan_Img_dataset/IMG_6228.jpg,Heroes garden seat
Dedan_Img_dataset/IMG_6229.jpg,Stefani nyaatha Shrine in Heroes garden
Dedan_Img_dataset/IMG_6201.jpg,Entrance to Admat lab
Dedan_Img_dataset/IMG_6177.jpg,Dedan Kimathi Energy studies
Dedan_Img_dataset/IMG_6188.jpg,Left side of School of engineering
Dedan_Img_dataset/IMG_6175.jpg,Front side of the School of Engineering
Dedan_Img_dataset/IMG_6203.jpg,Resouce Center
Dedan_Img_dataset/IMG_6217.jpg,Resouce Center side entrance
Dedan_Img_dataset/IMG_6202.jpg,Generator room
